ID_receta,Receta,ingrediente1,ingrediente2,ingrediente3,ingrediente4,ingrediente5,ingrediente6,ingrediente7
0,"Ensalada de pollo",Pollo,Lechuga,Tomate,Pepino,Maiz,Zanahoria,Aderezo de yogur
1,"Tortilla de espinacas",Huevo,Espinaca,Queso,Sal,Pimienta,Aceite de oliva,Cebolla
2,"Sopa de pollo y verduras",Pollo,Zanahoria,Apio,Caldo de pollo,Cebolla,Ajo,Fideos
3,"Lomo de cerdo a la mostaza",Lomo de cerdo,Mostaza,Dientes de ajo,Salsa de soja,Aceite de oliva,Miel,Sal
4,"Pasta primavera",Pasta,Calabacin,Tomate cherry,Espinacas,Aceite de oliva,Ajo,Queso parmesano
5,"Ensalada de garbanzos",Garbanzos,Tomate,Pepino,Cebolla,Pimiento rojo,Perejil,Aderezo de limon
6,"Salmón al horno con limón",Filete de salmón,Limón,Aceite de oliva,Sal,Pimienta,Eneldo,Patatas
7,"Wrap de pollo",Tortilla de trigo,Pollo,Lechuga,Tomate,Cebolla,Mayonesa,Salsa de yogur
8,"Sopa de tomate",Tomate,Cebolla,Ajo,Caldo de verduras,Aceite de oliva,Albahaca,Sal
9,"Hamburguesa de quinoa",Quinoa,Champinones,Cebolla,Pimiento rojo,Ajo,Pan rallado,Huevo
10,"Pollo al horno con papas",Muslos de pollo,Patatas,Aceite de oliva,Ajo,Sal,Pimienta,Pimentón dulce
11,"Ensalada de frutas tropicales",Pina,Mango,Papaya,Kiwi,Platano,Coco rallado,Leche de coco
12,"Risotto de champinones y espinacas",Arroz arborio,Champinones,Espinacas,Caldo de verduras,Cebolla,Ajo,Vino blanco
13,"Pollo a la parrilla con ensalada griega",Pechuga de pollo,Lechuga,Tomate,Pepino,Cebolla,Feta,Aceitunas negras
14,"Lasaña de carne",Carne molida,Tomate frito,Queso mozzarella,Queso parmesano,Aceite de oliva,Cebolla,Ajo
15,"Ensalada de quinoa y aguacate",Quinoa,Aguacate,Tomate,Pepino,Cebolla,Perejil,Aderezo de limon
16,"Pasta alfredo con pollo",Pasta,Pollo,Crema de leche,Mantequilla,Ajo,Sal,Pimienta
17,"Sopa de calabaza",Calabaza,Caldo de verduras,Cebolla,Ajo,Aceite de oliva,Pimentón dulce,Sal
18,"Tacos vegetarianos",Tortillas de maiz,Champinones,Pimiento rojo,Cebolla,Zanahoria,Lechuga,Salsa de yogur
